frame,time,len_bytes,src_port,dst_port,tcp_payload_len,flags,description,ack_rtt,initial_rtt
5,1764953239.8370662,74,45294,5000,0,SYN,SYN (início de conexão),,
6,1764953239.8370783,74,5000,45294,0,"SYN,ACK","SYN,ACK (resposta do servidor)",0.000012130,
7,1764953239.8370867,66,45294,5000,0,ACK,ACK (confirmação),0.000008385,0.000020515
8,1764953239.8371086,87,45294,5000,21,"PSH,ACK","PSH,ACK (dados + ACK)",,0.000020515
9,1764953239.837112,66,5000,45294,0,ACK,ACK (confirmação),0.000003328,0.000020515
10,1764953239.8371313,1515,45294,5000,1449,"PSH,ACK","PSH,ACK (dados + ACK)",,0.000020515
11,1764953239.8371348,66,5000,45294,0,ACK,ACK (confirmação),0.000003629,0.000020515
12,1764953239.8371482,66,45294,5000,0,"FIN,ACK","FIN,ACK (encerrando conexão)",,
13,1764953239.8375509,66,5000,45294,0,"FIN,ACK","FIN,ACK (encerrando conexão)",0.000402651,0.000020515
14,1764953239.837567,66,45294,5000,0,ACK,ACK (confirmação),0.000016278,0.000020515
