frame,time,len_bytes,src_port,dst_port,tls_type,tls_record_len,description
10,1764881667.620481032,583,45138,5001,Handshake,512,ClientHello
11,1764881667.620486511,66,5001,45138,,,
12,1764881667.621191613,1403,5001,45138,,69,
13,1764881667.621200110,66,45138,5001,,,
14,1764881667.621685499,146,45138,5001,,69,
15,1764881667.621784329,321,5001,45138,,250,
16,1764881667.621789227,1580,45138,5001,,1466,
17,1764881667.621812280,66,45138,5001,,,
7,1764881667.620364773,74,45138,5001,,,
8,1764881667.620376484,74,5001,45138,,,
9,1764881667.620385163,66,45138,5001,,,
